,player,team,season,plays,epa_cpoe_composite,epa_per_play,unadjusted_epa_per_play,success_rate,comp_pct,expected_comp_pct,cpoe,air_yards,mvp,epa_per_play_rank
1,A.Rodgers,,2020,609,0.217,0.37,0.362,55.20%,74.3,67.1,7.2,8,Yes,1
3,R.Tannehill,,2020,567,0.184,0.34,0.329,55.60%,67.9,65.2,2.7,8.3,No,2
4,P.Mahomes,,2020,694,0.179,0.323,0.311,55.00%,68.4,65.6,2.8,8.4,No,3
2,J.Allen,,2020,727,0.19,0.292,0.282,56.30%,72.3,65.7,6.6,8.6,No,4
5,T.Brady,,2020,682,0.167,0.274,0.249,50.90%,68.1,64.4,3.7,9.2,No,5
7,R.Fitzpatrick,,2020,318,0.155,0.247,0.245,56.00%,69.3,65.9,3.4,7.7,No,6
6,D.Watson,,2020,698,0.165,0.228,0.219,53.40%,73,66.5,6.5,8.9,No,7
12,P.Rivers,,2020,596,0.133,0.226,0.212,50.70%,70,69.2,0.8,7.3,No,8
9,K.Cousins,,2020,611,0.149,0.213,0.186,52.70%,72,67.4,4.6,8,No,9
10,D.Carr,,2020,607,0.138,0.213,0.172,51.90%,70.9,68.3,2.6,8.3,No,10
11,B.Mayfield,,2020,576,0.138,0.209,0.195,52.60%,67.3,64.5,2.8,8.7,No,11
13,D.Brees,,2020,422,0.131,0.209,0.19,50.90%,72.6,71,1.6,6.2,No,12
15,D.Prescott,,2020,254,0.117,0.192,0.157,55.10%,69.3,69,0.3,7.8,No,13
14,L.Jackson,,2020,576,0.121,0.19,0.181,47.90%,66.7,65.7,1,8.7,No,14
8,R.Wilson,,2020,702,0.152,0.188,0.165,51.30%,72.2,65.3,6.8,8.4,No,15
18,J.Herbert,,2020,702,0.11,0.177,0.172,48.70%,68.2,68.2,0,7.4,No,16
21,M.Stafford,,2020,620,0.102,0.171,0.142,50.50%,66.5,67.5,-1,8.9,No,17
16,K.Murray,,2020,736,0.116,0.16,0.139,50.30%,71,68.8,2.2,8,No,18
20,M.Ryan,,2020,721,0.106,0.148,0.143,48.80%,67.5,66.3,1.2,8.5,No,19
19,J.Burrow,,2020,485,0.106,0.136,0.122,49.10%,67.3,65.2,2.1,8.5,No,20
23,M.Trubisky,,2020,354,0.098,0.13,0.117,53.40%,67.9,66.8,1.1,7.8,No,21
24,B.Roethlisberger,,2020,673,0.086,0.129,0.12,47.80%,65.8,66.9,-1.1,6.9,No,22
17,T.Bridgewater,,2020,598,0.113,0.127,0.109,49.80%,72.5,68.5,4,7.3,No,23
25,J.Goff,,2020,626,0.083,0.093,0.06,48.70%,70.5,69.6,0.9,6.7,No,24
22,G.Minshew II,,2020,394,0.102,0.092,0.087,47.50%,69.9,65.6,4.3,8,No,25
28,N.Mullens,,2020,365,0.057,0.073,0.013,47.70%,66.1,68.7,-2.6,6.4,No,26
26,C.Newton,,2020,546,0.062,0.063,0.046,48.70%,68.2,69.2,-1,7,No,27
27,A.Dalton,,2020,398,0.057,0.041,0.021,48.50%,67.9,68.4,-0.4,6.7,No,28
29,T.Tagovailoa,,2020,353,0.05,0.034,0.01,48.20%,66.2,67.4,-1.2,7.8,No,29
33,D.Lock,,2020,519,0.022,0.021,-0.012,43.50%,59.6,65.2,-5.6,9,No,30
31,D.Jones,,2020,577,0.035,0.007,-0.019,45.60%,64.8,67.1,-2.2,7.7,No,31
30,N.Foles,,2020,349,0.043,-0.041,-0.054,41.50%,67.6,65.9,1.7,8.1,No,32
35,C.Wentz,,2020,565,0.011,-0.054,-0.075,42.50%,60.2,63.8,-3.6,8.9,No,33
32,A.Smith,,2020,290,0.022,-0.079,-0.094,42.80%,70.6,71.4,-0.8,5.2,No,34
36,D.Haskins,,2020,280,-0.004,-0.085,-0.112,40.00%,63.2,68.7,-5.5,6.8,No,35
34,S.Darnold,,2020,447,0.014,-0.1,-0.12,42.30%,64.2,66.1,-1.9,7.8,No,36
1,L.Jackson,,2019,605,0.191,0.344,0.342,51.90%,68.7,64.8,3.8,8.8,Yes,1
3,P.Mahomes,,2019,596,0.169,0.298,0.294,51.70%,67.9,65.4,2.5,8.8,No,2
2,R.Tannehill,,2019,360,0.19,0.275,0.232,55.30%,72.3,64.6,7.7,9.7,No,3
4,D.Brees,,2019,410,0.168,0.24,0.238,54.10%,77,70.9,6.1,6.6,No,4
8,M.Stafford,,2019,335,0.14,0.224,0.21,49.90%,65.8,63.8,2.1,10.4,No,5
9,D.Prescott,,2019,698,0.133,0.222,0.21,52.90%,67.4,66.4,1,9.3,No,6
5,K.Cousins,,2019,525,0.148,0.213,0.199,48.40%,72.9,68.5,4.4,7.7,No,7
10,J.Garoppolo,,2019,576,0.132,0.201,0.168,51.00%,70.8,68.4,2.4,6.5,No,8
11,D.Watson,,2019,644,0.129,0.197,0.184,50.30%,68.9,67,2,8.7,No,9
7,D.Carr,,2019,581,0.141,0.177,0.151,49.40%,75.1,69.4,5.7,6.6,No,10
6,R.Wilson,,2019,667,0.147,0.173,0.15,49.90%,69.2,62.2,7,9.3,No,11
12,P.Rivers,,2019,679,0.118,0.145,0.11,50.80%,68.3,64.6,3.7,8.8,No,12
13,A.Rodgers,,2019,678,0.101,0.144,0.136,45.70%,65.6,65,0.7,8.9,No,13
14,J.Winston,,2019,752,0.097,0.134,0.093,49.10%,62.9,62.2,0.7,10.6,No,14
18,T.Brady,,2019,693,0.075,0.116,0.1,44.00%,64.3,66.4,-2.1,7.8,No,15
19,J.Goff,,2019,712,0.074,0.107,0.077,46.30%,64.9,66.7,-1.8,7.9,No,16
16,R.Fitzpatrick,,2019,619,0.079,0.103,0.081,48.80%,63,63.6,-0.6,9.1,No,17
20,J.Brissett,,2019,555,0.064,0.103,0.084,47.60%,64.2,67.4,-3.3,7.9,No,18
15,M.Ryan,,2019,729,0.091,0.1,0.072,47.70%,69.2,67.4,1.8,8.3,No,19
17,C.Wentz,,2019,737,0.077,0.099,0.09,49.40%,65.1,65.7,-0.6,8,No,20
24,B.Mayfield,,2019,649,0.049,0.057,0.036,44.20%,61.8,64.7,-3,8.5,No,21
21,K.Murray,,2019,707,0.056,0.055,0.038,44.60%,67.5,69,-1.5,7.4,No,22
22,J.Allen,,2019,624,0.055,0.053,0.043,44.90%,62.4,64.1,-1.6,9.5,No,23
23,C.Keenum,,2019,287,0.054,0.044,0.017,47.40%,66.7,67.8,-1.1,6.9,No,24
27,A.Dalton,,2019,613,0.038,0.033,0.005,44.40%,62.3,65.6,-3.3,8.2,No,25
31,G.Minshew II,,2019,594,0.03,0.019,0.001,42.90%,63.2,67,-3.8,7.4,No,26
26,D.Jones,,2019,573,0.039,0.014,-0.021,43.60%,63.5,65.5,-1.9,8,No,27
29,M.Rudolph,,2019,334,0.037,-0.004,-0.025,41.60%,64.2,65.5,-1.2,8.2,No,28
28,K.Allen,,2019,581,0.037,-0.008,-0.037,47.30%,65.4,66.4,-1,8.4,No,29
25,S.Darnold,,2019,526,0.046,-0.015,-0.028,42.80%,65.9,64.9,1,8.7,No,30
32,M.Trubisky,,2019,625,0.026,-0.022,-0.033,44.60%,64.8,67.1,-2.3,7.9,No,31
30,J.Flacco,,2019,315,0.036,-0.025,-0.045,43.50%,68.4,68.6,-0.2,6.8,No,32
33,D.Haskins,,2019,258,-0.002,-0.151,-0.185,40.30%,60.7,65.4,-4.7,8.7,No,33
2,P.Mahomes,,2018,695,0.205,0.38,0.363,53.40%,68.3,63.8,4.5,9.1,Yes,1
1,D.Brees,,2018,550,0.214,0.37,0.368,58.00%,75.5,69,6.5,7.2,No,2
6,P.Rivers,,2018,579,0.158,0.251,0.241,51.30%,69,65.4,3.6,7.8,No,3
5,M.Ryan,,2018,707,0.161,0.248,0.223,52.90%,70.9,66.6,4.3,8.6,No,4
7,B.Roethlisberger,,2018,755,0.147,0.248,0.236,51.50%,68.3,66.5,1.7,7.8,No,5
4,R.Fitzpatrick,,2018,306,0.165,0.244,0.205,51.00%,66.9,61.7,5.2,10.4,No,6
3,R.Wilson,,2018,556,0.17,0.227,0.202,49.50%,70,62.5,7.5,9.2,No,7
8,M.Trubisky,,2018,553,0.135,0.213,0.197,51.70%,67.8,65.8,2,9,No,8
9,J.Goff,,2018,654,0.132,0.213,0.196,51.20%,67.7,66.1,1.5,8.7,No,9
10,J.Winston,,2018,477,0.131,0.199,0.168,51.20%,65.4,63.2,2.2,10.8,No,10
12,T.Brady,,2018,631,0.124,0.199,0.195,52.60%,67.9,66.9,1,8,No,11
14,A.Luck,,2018,727,0.117,0.184,0.166,51.30%,68.4,67.5,0.8,7.5,No,12
11,D.Watson,,2018,694,0.13,0.161,0.155,50.70%,70.1,65.4,4.7,8.5,No,13
15,N.Mullens,,2018,317,0.11,0.149,0.118,48.30%,67.4,65.5,1.9,7.2,No,14
13,C.Wentz,,2018,479,0.121,0.133,0.103,50.30%,70.5,65.4,5.1,7.9,No,15
19,A.Rodgers,,2018,721,0.089,0.13,0.129,47.70%,64.7,65.3,-0.6,8.8,No,16
23,A.Dalton,,2018,426,0.075,0.129,0.096,49.30%,63.3,66.3,-3,8.2,No,17
24,J.Flacco,,2018,431,0.071,0.111,0.105,47.80%,62.9,65.5,-2.6,8.8,No,18
16,C.Newton,,2018,611,0.1,0.105,0.09,50.10%,70.5,67.4,3,7.3,No,19
18,B.Mayfield,,2018,570,0.089,0.103,0.079,46.80%,65.7,64.4,1.3,9.4,No,20
21,E.Manning,,2018,657,0.079,0.087,0.07,43.40%,67,66.6,0.5,7.3,No,21
17,M.Mariota,,2018,453,0.093,0.082,0.065,48.80%,71,67.6,3.4,7.6,No,22
26,M.Stafford,,2018,649,0.063,0.082,0.053,45.10%,67.5,69.6,-2.1,6.8,No,23
22,D.Prescott,,2018,683,0.078,0.076,0.068,46.40%,69,67.9,1.1,7.5,No,24
27,A.Smith,,2018,406,0.059,0.067,0.04,47.30%,65.1,66.8,-1.7,8.3,No,25
29,L.Jackson,,2018,334,0.032,0.058,0.026,47.90%,60.4,66.4,-6,8.8,No,26
20,D.Carr,,2018,644,0.081,0.043,0.006,47.80%,72,68.2,3.8,7,No,27
30,S.Darnold,,2018,491,0.026,0.019,-0.017,43.40%,59.8,64.4,-4.6,9.4,No,28
25,K.Cousins,,2018,708,0.066,0.018,-0.013,48.00%,71.8,69.2,2.6,7.2,No,29
32,J.Allen,,2018,463,0.012,0.015,0.009,42.50%,55.6,62.4,-6.8,10.8,No,30
33,B.Bortles,,2018,502,0.009,0.008,-0.011,44.20%,60.8,67.7,-6.9,7.2,No,31
28,C.Keenum,,2018,680,0.039,0.002,-0.009,44.10%,64.9,66.2,-1.3,7.6,No,32
31,R.Tannehill,,2018,356,0.019,-0.133,-0.182,41.60%,65.9,66.9,-0.9,8.2,No,33
34,J.Rosen,,2018,480,-0.018,-0.238,-0.282,38.10%,58.5,66.7,-8.2,8.5,No,34
2,D.Watson,,2017,279,0.161,0.277,0.223,49.80%,62.4,60.1,2.3,11.1,No,1
1,T.Brady,,2017,681,0.163,0.261,0.244,52.30%,66.6,62.9,3.7,9.1,Yes,1
3,C.Wentz,,2017,550,0.143,0.257,0.243,49.60%,60.8,60.3,0.5,10,No,2
6,P.Rivers,,2017,635,0.133,0.222,0.216,49.60%,63.7,62.7,1,8.4,No,3
10,J.Goff,,2017,541,0.12,0.216,0.197,46.40%,63.1,64,-0.9,8,No,4
7,B.Roethlisberger,,2017,629,0.131,0.191,0.18,50.90%,64.9,62,2.9,9,No,5
5,D.Brees,,2017,596,0.139,0.186,0.174,49.70%,73,68.3,4.7,6.4,No,6
9,M.Ryan,,2017,601,0.128,0.182,0.159,50.70%,66.3,63.3,3,8.9,No,7
4,A.Smith,,2017,620,0.139,0.181,0.177,48.50%,69.5,64.4,5,7.8,No,8
8,C.Keenum,,2017,569,0.131,0.181,0.172,49.20%,68.4,64.8,3.6,7.6,No,9
12,A.Rodgers,,2017,302,0.11,0.164,0.128,51.70%,65.8,65,0.8,7,No,10
11,J.Winston,,2017,529,0.119,0.128,0.106,50.90%,64.8,59.9,4.9,10.7,No,11
19,B.Bortles,,2017,622,0.073,0.123,0.109,47.40%,61.4,64.4,-3,7.8,No,12
15,M.Stafford,,2017,674,0.089,0.112,0.082,46.90%,66.3,65.6,0.6,8,No,13
14,R.Wilson,,2017,728,0.106,0.099,0.081,46.70%,64.7,60.1,4.6,9.9,No,14
13,J.McCown,,2017,479,0.107,0.088,0.061,46.10%,68.9,63.4,5.5,7.8,No,15
16,M.Mariota,,2017,559,0.08,0.088,0.057,47.20%,63.4,62.7,0.7,9,No,16
17,K.Cousins,,2017,641,0.079,0.082,0.06,46.20%,65,64.1,0.8,7.7,No,17
20,D.Prescott,,2017,620,0.068,0.07,0.03,45.60%,63.9,64.1,-0.2,8,No,18
22,C.Newton,,2017,682,0.057,0.07,0.048,45.00%,60.2,62.6,-2.3,8.6,No,19
18,T.Taylor,,2017,564,0.074,0.063,0.054,42.60%,63.5,62.3,1.3,8.6,No,20
21,D.Carr,,2017,589,0.064,0.058,0.053,44.50%,63.3,63.6,-0.3,8.3,No,21
23,C.Palmer,,2017,318,0.056,0.034,0.014,45.60%,61.7,61.7,0,9.3,No,22
25,A.Dalton,,2017,581,0.032,-0.012,-0.029,43.00%,62.7,64.3,-1.7,8.3,No,23
24,J.Cutler,,2017,479,0.038,-0.015,-0.04,43.40%,63.3,63.7,-0.4,8.4,No,24
28,J.Brissett,,2017,600,0.012,-0.028,-0.056,41.00%,60.8,65.2,-4.5,7.5,No,25
27,T.Siemian,,2017,431,0.028,-0.03,-0.062,41.80%,60.6,62.1,-1.5,8.7,No,26
26,J.Flacco,,2017,606,0.028,-0.035,-0.061,42.90%,64.8,66,-1.2,6.8,No,27
30,E.Manning,,2017,642,0.008,-0.073,-0.087,44.10%,62.1,65.7,-3.6,7.3,No,28
32,M.Trubisky,,2017,424,-0.002,-0.077,-0.094,40.60%,60.1,65.5,-5.4,7.8,No,29
31,T.Savage,,2017,267,0.004,-0.082,-0.126,41.90%,56.8,61,-4.2,8.9,No,30
34,C.Beathard,,2017,274,-0.014,-0.094,-0.119,40.90%,55.7,62.8,-7.1,7.4,No,31
33,D.Kizer,,2017,630,-0.01,-0.102,-0.125,38.90%,54.3,60.6,-6.3,9,No,32
29,B.Hundley,,2017,398,0.008,-0.108,-0.125,43.00%,61.5,64.6,-3,7.6,No,33
1,M.Ryan,,2016,625,0.206,0.337,0.325,54.60%,70.8,63.9,6.9,8.7,Yes,1
2,T.Brady,,2016,494,0.187,0.335,0.334,51.00%,68,64.3,3.7,7.8,No,2
3,D.Prescott,,2016,553,0.175,0.287,0.276,53.30%,68.4,64.1,4.2,8.2,No,3
4,A.Rodgers,,2016,737,0.16,0.257,0.25,50.60%,66.4,62.9,3.5,8.7,No,4
5,K.Cousins,,2016,681,0.16,0.235,0.207,53.90%,68.7,63.7,5,8.7,No,5
6,D.Brees,,2016,737,0.146,0.21,0.18,52.10%,71.1,66.9,4.2,7.3,No,6
7,B.Roethlisberger,,2016,560,0.132,0.206,0.184,49.60%,65.1,63.1,1.9,8.7,No,7
9,M.Stafford,,2016,700,0.114,0.185,0.172,50.60%,66.9,66.8,0.1,7.5,No,8
8,M.Mariota,,2016,558,0.116,0.173,0.132,48.90%,62.9,61.5,1.4,9.8,No,9
10,A.Luck,,2016,676,0.112,0.165,0.135,50.10%,64.9,63.7,1.2,8.4,No,10
14,P.Rivers,,2016,656,0.1,0.146,0.112,47.40%,62.1,61.9,0.2,8.5,No,11
16,D.Carr,,2016,642,0.097,0.143,0.137,45.80%,64.4,64.4,0,7.8,No,12
11,A.Dalton,,2016,672,0.109,0.132,0.126,50.10%,67.2,64.3,2.8,8,No,13
13,A.Smith,,2016,569,0.1,0.122,0.092,47.10%,68.3,66.4,1.9,6.7,No,14
15,J.Winston,,2016,690,0.097,0.12,0.093,48.60%,61.6,59.9,1.7,10.3,No,15
12,R.Wilson,,2016,679,0.106,0.101,0.093,48.50%,66.9,62.4,4.5,8.7,No,16
20,C.Palmer,,2016,690,0.079,0.088,0.07,48.70%,61.9,61.5,0.4,9.4,No,17
18,T.Taylor,,2016,604,0.088,0.087,0.082,43.70%,63.7,61.5,2.1,9.4,No,18
17,S.Bradford,,2016,627,0.096,0.074,0.062,48.00%,71.9,67.4,4.5,6.4,No,19
21,T.Siemian,,2016,570,0.066,0.066,0.051,46.10%,61.2,61.7,-0.5,8.6,No,20
25,R.Fitzpatrick,,2016,474,0.038,0.045,0.022,44.70%,56.9,61,-4.1,9.1,No,21
22,C.Wentz,,2016,707,0.051,0.033,0.023,44.70%,63,63.9,-0.9,7.5,No,22
26,C.Kaepernick,,2016,449,0.029,0.031,0.018,43.20%,59.9,64.7,-4.7,8,No,23
19,R.Tannehill,,2016,470,0.082,0.023,0.007,46.00%,68.5,63.2,5.3,8,No,24
27,B.Bortles,,2016,758,0.026,0.018,-0.002,44.70%,59.2,63.6,-4.5,8.3,No,25
24,E.Manning,,2016,657,0.04,0.011,-0.006,45.40%,63.1,64.8,-1.6,7.9,No,26
29,C.Newton,,2016,664,0.018,0.01,-0.014,43.20%,54,59.5,-5.5,10.4,No,27
28,B.Osweiler,,2016,581,0.021,-0.01,-0.024,46.80%,59.7,63.4,-3.7,8.6,No,28
23,J.Flacco,,2016,753,0.04,-0.012,-0.026,43.40%,66.3,66.4,-0.2,7.5,No,29
30,C.Keenum,,2016,377,0.014,-0.037,-0.071,40.80%,61.4,65.1,-3.7,7.7,No,30
31,J.Goff,,2016,254,-0.032,-0.266,-0.313,33.90%,55.4,66.4,-10.9,6.7,No,31
1,C.Palmer,,2015,613,0.193,0.323,0.314,53.00%,65.1,59.9,5.3,10.9,No,1
4,A.Dalton,,2015,480,0.171,0.28,0.266,52.50%,66.9,63,4,9,No,2
2,R.Wilson,,2015,636,0.184,0.256,0.243,52.40%,70.6,62.7,7.9,8.7,No,3
3,B.Roethlisberger,,2015,533,0.173,0.248,0.241,52.70%,68.5,61.9,6.5,10.2,No,4
7,T.Brady,,2015,727,0.124,0.215,0.195,47.60%,64.9,65,-0.1,7.9,No,5
5,K.Cousins,,2015,622,0.148,0.194,0.176,49.40%,69.8,64.1,5.7,8,No,6
6,D.Brees,,2015,708,0.127,0.191,0.172,48.00%,68.7,66.7,2,7.9,No,7
8,C.Newton,,2015,680,0.112,0.179,0.171,50.10%,60.8,60.6,0.1,10.4,Yes,8
12,R.Fitzpatrick,,2015,651,0.094,0.156,0.15,45.90%,59.8,61.3,-1.5,9.2,No,9
9,T.Taylor,,2015,541,0.109,0.131,0.131,43.30%,63.8,60.7,3,10.5,No,10
17,E.Manning,,2015,701,0.085,0.13,0.1,46.80%,63.4,64.7,-1.3,7.7,No,11
13,J.Winston,,2015,652,0.091,0.127,0.108,47.90%,59.3,59.3,0,10.1,No,12
10,J.Cutler,,2015,569,0.103,0.126,0.085,47.80%,64.9,62.7,2.3,8.4,No,13
14,M.Ryan,,2015,709,0.091,0.122,0.103,51.20%,66.8,66.6,0.2,7.8,No,14
11,P.Rivers,,2015,763,0.103,0.117,0.086,47.80%,67.1,64.3,2.8,7.2,No,15
18,A.Smith,,2015,622,0.085,0.113,0.103,46.30%,66.7,67,-0.2,6.8,No,16
16,J.McCown,,2015,358,0.089,0.111,0.087,47.50%,64.1,63.4,0.7,7.8,No,17
21,A.Rodgers,,2015,736,0.071,0.09,0.075,45.10%,61.6,62.7,-1.1,8.1,No,18
20,M.Stafford,,2015,698,0.079,0.088,0.068,49.40%,68.3,67.7,0.6,6.5,No,19
19,M.Mariota,,2015,470,0.081,0.087,0.059,46.60%,63,62.2,0.8,9.4,No,20
15,T.Bridgewater,,2015,554,0.09,0.075,0.07,43.00%,67.1,63.9,3.3,7.2,No,21
28,B.Bortles,,2015,735,0.05,0.062,0.022,45.60%,59.2,62.1,-3,9.2,No,22
26,M.Hasselbeck,,2015,298,0.053,0.059,0.032,46.60%,62.4,64.7,-2.3,7.4,No,23
27,D.Carr,,2015,651,0.051,0.059,0.016,44.40%,61.5,64.3,-2.8,8,No,24
23,B.Hoyer,,2015,418,0.056,0.056,0.041,46.90%,61.2,62.8,-1.6,9.4,No,25
24,B.Osweiler,,2015,332,0.055,0.047,0.04,47.30%,61.8,63,-1.2,8.8,No,26
25,J.Flacco,,2015,463,0.055,0.031,0.005,46.90%,65.2,65.4,-0.2,7.5,No,27
22,R.Tannehill,,2015,692,0.057,0.021,0.004,42.50%,62.7,61.8,0.9,8.8,No,28
29,S.Bradford,,2015,615,0.049,0.017,-0.007,44.70%,65.4,65.7,-0.3,7,No,29
32,A.Luck,,2015,351,0.021,-0.003,-0.022,41.60%,56.8,61.1,-4.2,9.8,No,30
30,J.Manziel,,2015,285,0.029,-0.008,-0.022,41.40%,59.2,61.7,-2.6,8.2,No,31
35,R.Mallett,,2015,263,0.001,-0.014,-0.022,43.00%,56.7,63.9,-7.2,8.6,No,32
34,C.Kaepernick,,2015,322,0.008,-0.027,-0.041,41.00%,59,64.2,-5.2,7.7,No,33
33,P.Manning,,2015,365,0.02,-0.042,-0.073,41.40%,60.2,62.6,-2.4,9.4,No,34
31,B.Gabbert,,2015,347,0.022,-0.05,-0.066,40.90%,63.3,65.1,-1.8,7.2,No,35
36,N.Foles,,2015,378,-0.013,-0.194,-0.222,36.50%,57.2,64.1,-6.9,8.1,No,36
2,A.Rodgers,,2014,615,0.191,0.356,0.348,54.80%,66.2,63.1,3.1,8.1,Yes,1
1,T.Romo,,2014,502,0.208,0.346,0.328,53.20%,70.9,64,6.9,9,No,2
3,B.Roethlisberger,,2014,683,0.168,0.249,0.24,52.90%,68.3,62.9,5.5,8.7,No,3
4,D.Brees,,2014,736,0.139,0.203,0.173,52.00%,70.4,66.9,3.4,7.7,No,4
5,P.Manning,,2014,662,0.138,0.201,0.18,50.90%,66.5,63.2,3.3,8.5,No,5
8,T.Brady,,2014,670,0.127,0.197,0.19,48.80%,65.1,63.5,1.6,8.1,No,6
11,J.Flacco,,2014,636,0.109,0.184,0.175,49.80%,63.7,64.4,-0.7,8.6,No,7
9,C.Palmer,,2014,254,0.113,0.18,0.156,44.50%,64.4,64.1,0.3,9,No,8
6,R.Wilson,,2014,616,0.13,0.174,0.172,45.80%,66.3,62.5,3.8,8,No,9
10,A.Luck,,2014,730,0.11,0.161,0.133,48.90%,63.1,62.1,1.1,8.9,No,10
7,P.Rivers,,2014,682,0.13,0.159,0.139,49.60%,67.3,62.5,4.9,8.6,No,11
13,R.Fitzpatrick,,2014,398,0.101,0.147,0.138,48.00%,63.5,63.2,0.3,8.5,No,12
17,A.Smith,,2014,583,0.091,0.145,0.141,47.00%,66.4,67.8,-1.3,5.9,No,13
12,M.Ryan,,2014,715,0.105,0.143,0.108,49.80%,67,65.6,1.4,7.8,No,14
14,E.Manning,,2014,669,0.099,0.135,0.117,46.50%,63.9,63.1,0.8,8.3,No,15
16,M.Sanchez,,2014,368,0.092,0.124,0.089,50.00%,65.1,64.8,0.3,8.4,No,16
15,R.Tannehill,,2014,719,0.094,0.102,0.081,51.00%,66.7,64.4,2.2,7.6,No,17
24,D.Stanton,,2014,292,0.052,0.091,0.077,42.10%,55.5,60.2,-4.7,11,No,18
19,N.Foles,,2014,357,0.062,0.078,0.052,44.00%,60.6,62.6,-2,9.6,No,19
26,M.Stafford,,2014,707,0.047,0.078,0.065,45.70%,61.7,66.4,-4.7,8.1,No,20
22,C.Newton,,2014,613,0.054,0.072,0.051,48.60%,58.9,61.9,-3,9.8,No,21
18,A.Dalton,,2014,586,0.075,0.068,0.031,46.90%,65.6,64.5,1.1,7.9,No,22
23,C.Kaepernick,,2014,667,0.052,0.053,0.039,44.40%,60.8,62.9,-2.1,9.7,No,23
20,J.Cutler,,2014,666,0.062,0.044,0.001,47.30%,66,65.7,0.3,7.3,No,24
21,T.Bridgewater,,2014,500,0.058,0.037,0.025,45.00%,65.4,65.4,0,7.9,No,25
25,K.Orton,,2014,508,0.05,0.029,0.013,44.90%,64.9,65.9,-1,7.1,No,26
28,G.Smith,,2014,470,0.038,0.019,-0.015,42.30%,61.2,63.6,-2.5,8.3,No,27
33,B.Hoyer,,2014,507,0.013,0.007,-0.007,42.60%,55.4,61.7,-6.3,10.4,No,28
29,M.Glennon,,2014,250,0.036,-0.022,-0.042,42.00%,58.2,58.6,-0.4,11,No,29
30,A.Davis,,2014,339,0.028,-0.039,-0.102,47.20%,64.3,65.3,-1,8.7,No,30
31,J.McCown,,2014,406,0.02,-0.043,-0.064,42.10%,57.5,59.8,-2.3,10.2,No,31
